Frequency(Hz),Value Type:,RLGC1[1 1] - (Line_1_3:Line_1_3),RLGC1[1 2] - (Line_1_3:Line_2_4),RLGC1[2 2] - (Line_2_4:Line_2_4)
4.66667e+09,Resistance,2.23946,0.0523137,2.23946
4.66667e+09,Inductance,1.12987e-08,5.94368e-10,1.12987e-08
4.66667e+09,Conductance,0.00165506,-8.74276e-05,0.00165506
4.66667e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
4.74e+09,Resistance,2.25696,0.0527527,2.25696
4.74e+09,Inductance,1.12981e-08,5.94353e-10,1.12981e-08
4.74e+09,Conductance,0.00168105,-8.87842e-05,0.00168105
4.74e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
4.81333e+09,Resistance,2.2738,0.0527968,2.2738
4.81333e+09,Inductance,1.12975e-08,5.94342e-10,1.12975e-08
4.81333e+09,Conductance,0.00170716,-9.00807e-05,0.00170716
4.81333e+09,Capacitance,2.82234e-12,-1.49032e-13,2.82234e-12
4.88667e+09,Resistance,2.29107,0.0535025,2.29107
4.88667e+09,Inductance,1.12969e-08,5.94323e-10,1.12969e-08
4.88667e+09,Conductance,0.00173314,-9.15068e-05,0.00173314
4.88667e+09,Capacitance,2.82235e-12,-1.49031e-13,2.82235e-12
4.96e+09,Resistance,2.30849,0.0536706,2.30849
4.96e+09,Inductance,1.12963e-08,5.94304e-10,1.12963e-08
4.96e+09,Conductance,0.00175905,-9.28449e-05,0.00175905
4.96e+09,Capacitance,2.82234e-12,-1.4903e-13,2.82234e-12
5.03333e+09,Resistance,2.3247,0.0542781,2.3247
5.03333e+09,Inductance,1.12958e-08,5.943e-10,1.12958e-08
5.03333e+09,Conductance,0.00178521,-9.42709e-05,0.00178521
5.03333e+09,Capacitance,2.82235e-12,-1.49032e-13,2.82235e-12
5.10667e+09,Resistance,2.34137,0.0543526,2.34137
5.10667e+09,Inductance,1.12953e-08,5.943e-10,1.12953e-08
5.10667e+09,Conductance,0.00181125,-9.55789e-05,0.00181125
5.10667e+09,Capacitance,2.82234e-12,-1.49034e-13,2.82234e-12
5.18e+09,Resistance,2.35828,0.0548793,2.35828
5.18e+09,Inductance,1.12947e-08,5.9427e-10,1.12947e-08
5.18e+09,Conductance,0.00183718,-9.69638e-05,0.00183718
5.18e+09,Capacitance,2.82235e-12,-1.49031e-13,2.82235e-12
5.25333e+09,Resistance,2.37506,0.0555979,2.37506
